,costOfRevenue,currency,ebit,filingType,fiscalDate,fiscalQuarter,fiscalYear,grossProfit,incomeTax,interestIncome,minorityInterest,netIncome,netIncomeBasic,operatingExpense,operatingIncome,otherIncomeExpenseNet,pretaxIncome,reportDate,researchAndDevelopment,sellingGeneralAndAdmin,symbol,totalRevenue,id,key,subkey,date,updated
0,0.0,USD,12069000000.0,10-Q,2023-06-30,2,2023,80795000000.0,3503000000.0,249000000.0,273000000.0,7880000000.0,7880000000.0,70845000000.0,9950000000.0,737000000.0,11656000000.0,2023-08-01,0.0,2449000000.0,XOM,80795000000.0,INCOME,XOM,quarterly,1688083200000,1691589115000.0
1,28984000000.0,USD,7556000000.0,10-Q,2023-06-30,2,2023,18232000000.0,1829000000.0,120000000.0,-2000000.0,6010000000.0,6010000000.0,40900000000.0,6316000000.0,0.0,7837000000.0,2023-08-03,0.0,1128000000.0,CVX,47216000000.0,INCOME,CVX,quarterly,1688083200000,1691758133000.0
2,35807000000.0,USD,5272000000.0,6-K,2023-06-30,2,2023,12731000000.0,1541000000.0,920000000.0,161000000.0,1792000000.0,1792000000.0,43857000000.0,4681000000.0,0.0,3494000000.0,2023-08-01,0.0,3834000000.0,BP,48538000000.0,INCOME,BP,quarterly,1688083200000,1691598096000.0
3,6502000000.0,USD,1401000000.0,10-Q,2023-06-30,2,2023,1597000000.0,246000000.0,108000000.0,14000000.0,1033000000.0,1033000000.0,6761000000.0,1338000000.0,0.0,1293000000.0,2023-07-26,163000000.0,96000000.0,SLB,8099000000.0,INCOME,SLB,quarterly,1688083200000,1691076369000.0
4,45384000000.0,USD,22998000000.0,10-Q,2023-07-01,3,2023,36413000000.0,2852000000.0,998000000.0,0.0,19881000000.0,19881000000.0,58799000000.0,22998000000.0,0.0,22733000000.0,2023-08-04,7442000000.0,5973000000.0,AAPL,81797000000.0,INCOME,AAPL,quarterly,1688169600000,1692028190000.0
5,10613000000.0,USD,4162000000.0,10-K,2023-06-30,4,2023,9940000000.0,841000000.0,124000000.0,8000000.0,3312000000.0,3312000000.0,16391000000.0,4162000000.0,0.0,4233000000.0,2023-08-04,0.0,5778000000.0,PG,20553000000.0,INCOME,PG,quarterly,1688083200000,1693322555000.0
6,4912000000.0,USD,4277000000.0,10-Q,2023-06-30,2,2023,7060000000.0,359000000.0,150000000.0,-26000000.0,2547000000.0,2547000000.0,8233000000.0,3739000000.0,0.0,2880000000.0,2023-07-27,0.0,3321000000.0,KO,11972000000.0,INCOME,KO,quarterly,1688083200000,1691151222000.0
7,3228000000.0,USD,2545000000.0,10-Q,2023-06-30,2,2023,5739000000.0,560000000.0,297000000.0,114000000.0,1563000000.0,1563000000.0,6401000000.0,2566000000.0,0.0,2242000000.0,2023-07-27,0.0,3173000000.0,PM,8967000000.0,INCOME,PM,quarterly,1688083200000,1693236390000.0
8,58628716262.8645,USD,9082256453.8195,6-K,2023-06-30,1,2024,14255829086.404,2720433159.1005,0.0,107238124.393,9062319478.122,9062319478.122,65138487811.555,7746057537.713493,0.0,11889997672.179,2023-08-01,0.0,6509771548.6905,TM,72884545349.2685,INCOME,TM,quarterly,1688083200000,1691588144000.0
9,10121000000.0,USD,3659000000.0,10-Q,2023-06-17,2,2023,12201000000.0,747000000.0,201000000.0,23000000.0,2748000000.0,2748000000.0,18663000000.0,3659000000.0,0.0,3518000000.0,2023-07-13,0.0,8542000000.0,PEP,22322000000.0,INCOME,PEP,quarterly,1686960000000,1693236362000.0
10,1681000000.0,USD,3032000000.0,10-Q,2023-06-30,2,2023,4827000000.0,689000000.0,257000000.0,0.0,2113000000.0,2113000000.0,3476000000.0,3032000000.0,0.0,2806000000.0,2023-08-01,0.0,852000000.0,MO,6508000000.0,INCOME,MO,quarterly,1688083200000,1691601821000.0
11,8212000000.0,USD,6824000000.0,10-Q,2023-07-02,2,2023,17318000000.0,1618000000.0,-23000000.0,0.0,5144000000.0,5144000000.0,18706000000.0,6824000000.0,0.0,6762000000.0,2023-07-31,3829000000.0,6665000000.0,JNJ,25530000000.0,INCOME,JNJ,quarterly,1688256000000,1694617524000.0
12,3237000000.0,USD,2604000000.0,10-Q,2023-07-02,2,2023,9497000000.0,-71000000.0,192000000.0,11000000.0,2327000000.0,2327000000.0,10566000000.0,2168000000.0,280000000.0,2268000000.0,2023-08-09,2648000000.0,3497000000.0,PFE,12734000000.0,INCOME,PFE,quarterly,1688256000000,1692274298000.0
13,4341000000.0,USD,3381000000.0,6-K,2023-06-30,2,2023,9595000000.0,452000000.0,224000000.0,1000000.0,2316000000.0,2316000000.0,10555000000.0,3381000000.0,0.0,2769000000.0,2023-07-18,2526000000.0,3686000000.0,NVS,13936000000.0,INCOME,NVS,quarterly,1688083200000,1690383864000.0
14,9748000000.0,USD,8057000000.0,10-Q,2023-06-30,2,2023,83155000000.0,1572000000.0,828000000.0,183000000.0,5474000000.0,5474000000.0,84846000000.0,8057000000.0,0.0,7229000000.0,2023-08-02,0.0,0.0,UNH,92903000000.0,INCOME,UNH,quarterly,1688083200000,1694617670000.0
15,4024000000.0,USD,-5012000000.0,10-Q,2023-06-30,2,2023,11011000000.0,637000000.0,168000000.0,3000000.0,-5975000000.0,-5975000000.0,20047000000.0,-5012000000.0,0.0,-5335000000.0,2023-08-07,13321000000.0,2702000000.0,MRK,15035000000.0,INCOME,MRK,quarterly,1688083200000,1692115922000.0
16,1813000000.0,USD,2684000000.0,10-Q,2023-06-30,2,2023,5173000000.0,235000000.0,752000000.0,0.0,1379000000.0,1379000000.0,4220000000.0,2766000000.0,-82000000.0,1614000000.0,2023-08-04,1113000000.0,1294000000.0,AMGN,6986000000.0,INCOME,AMGN,quarterly,1688083200000,1692028480000.0
